DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2018/08/28 17:05:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,3.0,0.0,0.0,-25.117,-49.229,5.5
2018/08/28 17:05:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,3.0,0.0,0.0,-25.145,-49.559,11.3
2018/08/31 17:35:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,6.0,0.0,0.2,-24.739,-49.446,30.6
2018/08/31 17:35:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,6.0,0.0,0.2,-24.747,-49.023,24.0
2018/08/31 17:35:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,6.0,0.0,0.3,-25.017,-49.523,16.8
2018/08/31 17:35:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,6.0,0.0,0.2,-25.025,-48.729,16.4
2018/08/31 17:35:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,6.0,0.0,0.2,-25.03,-48.754,19.2
2018/08/31 17:35:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,6.0,0.0,0.2,-25.034,-48.748,30.1
2018/08/31 17:35:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,6.0,0.0,0.2,-25.144,-49.297,61.8
2018/08/29 17:50:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,4.0,0.0,0.1,-25.051,-48.938,36.6
2018/08/29 17:50:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,4.0,0.0,0.1,-25.064,-48.943,38.0
2018/08/30 16:55:00,AQUA_M-T,Brasil,PARANÁ,DOUTOR ULYSSES,Mata Atlântica,5.0,0.0,0.4,-24.622,-49.375,29.7
2018/08/30 16:55:00,AQUA_M-T,Brasil,PARANÁ,DOUTOR ULYSSES,Mata Atlântica,5.0,0.0,0.2,-24.623,-49.381,27.9
2018/08/30 16:55:00,AQUA_M-T,Brasil,PARANÁ,DOUTOR ULYSSES,Mata Atlântica,5.0,0.0,0.1,-24.623,-49.387,10.3
2018/08/30 16:55:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,5.0,0.0,0.1,-24.741,-49.441,4.6
